Date,rain_mm,pet_mm
1980-01-01,0,5.0143
1980-01-02,0,4.9714
1980-01-03,0,4.9429
1980-01-04,0,4.9000
1980-01-05,25,4.7000
1980-01-06,7.4000000000000004,4.6714
1980-01-07,5.5999999999999996,4.5286
1980-01-08,0.80000000000000004,4.8143
1980-01-09,0,4.8714
1980-01-10,0,4.7857
1980-01-11,7.2999999999999998,4.9143
1980-01-12,2,5.5857
1980-01-13,0,6.2000
1980-01-14,0,6.7286
1980-01-15,0,6.9143
1980-01-16,0,7.0429
1980-01-17,0,7.3714
1980-01-18,0,7.7143
1980-01-19,0,7.6857
1980-01-20,47.600000000000001,7.9143
1980-01-21,44.200000000000003,7.9286
1980-01-22,1,7.5143
1980-01-23,0,7.2000
1980-01-24,0,6.9714
1980-01-25,0,6.9000
1980-01-26,0,6.7857
1980-01-27,0,6.3857
1980-01-28,0,6.0143
1980-01-29,0,6.0286
1980-01-30,0,5.9714
1980-01-31,0,5.8571
1980-02-01,0,5.7857
1980-02-02,0,5.7000
1980-02-03,0,5.9143
1980-02-04,0,6.1571
1980-02-05,0,6.0714
1980-02-06,0,6.1286
1980-02-07,0,6.1000
1980-02-08,0,5.9714
1980-02-09,0,5.6000
1980-02-10,0,4.9714
1980-02-11,14.6,4.3857
1980-02-12,7.5999999999999996,4.3143
1980-02-13,0,4.1286
1980-02-14,0,4.0143
1980-02-15,0,4.0286
1980-02-16,0,4.3857
1980-02-17,0,4.3714
1980-02-18,3.3999999999999999,4.7857
1980-02-19,0,4.8857
1980-02-20,0,5.1143
1980-02-21,0,5.1571
1980-02-22,22.199999999999999,5.2143
1980-02-23,0,5.3857
1980-02-24,0,5.8143
1980-02-25,4.5999999999999996,6.0429
1980-02-26,7.2000000000000002,6.0714
1980-02-27,15.6,5.8714
1980-02-28,9.4000000000000004,5.9143
1980-02-29,0,5.8429
1980-03-01,0,5.5143
1980-03-02,46.200000000000003,5.3143
1980-03-03,0,4.9429
1980-03-04,42.600000000000001,4.8714
1980-03-05,37.600000000000001,4.8571
1980-03-06,6.5999999999999996,4.4286
1980-03-07,0,4.2571
1980-03-08,0,4.1857
1980-03-09,0,4.2714
1980-03-10,6.2000000000000002,4.2714
1980-03-11,5.9000000000000004,3.9571
1980-03-12,0,4.0429
1980-03-13,0,4.6143
1980-03-14,0.40000000000000002,4.7429
1980-03-15,0,4.9429
1980-03-16,0,5.0714
1980-03-17,0,4.7857
1980-03-18,17.399999999999999,4.6571
1980-03-19,9,4.3429
1980-03-20,0,4.1286
1980-03-21,0,3.8857
1980-03-22,21.399999999999999,3.6429
1980-03-23,0,3.3429
1980-03-24,0,3.5571
1980-03-25,10,3.9429
1980-03-26,0,4.3714
1980-03-27,0,4.3857
1980-03-28,0,4.6571
1980-03-29,0,4.7857
1980-03-30,0,5.0857
1980-03-31,0,5.3000
1980-04-01,0,5.3714
1980-04-02,0,5.2857
1980-04-03,0,5.4286
1980-04-04,0,5.3857
1980-04-05,0,5.5286
1980-04-06,0,5.5571
1980-04-07,0,5.6429
1980-04-08,0,5.7143
1980-04-09,7.7999999999999998,5.4429
1980-04-10,8.4000000000000004,5.1857
1980-04-11,7.2000000000000002,4.9143
1980-04-12,0,4.5857
1980-04-13,0,4.2429
1980-04-14,20,3.9571
1980-04-15,4.2000000000000002,3.6429
1980-04-16,2.6000000000000001,3.7286
1980-04-17,6.4000000000000004,3.8286
1980-04-18,0,3.8714
1980-04-19,0,3.8286
1980-04-20,0,3.8571
1980-04-21,0,3.7429
1980-04-22,18,3.6714
1980-04-23,23,3.5571
1980-04-24,0,3.4286
1980-04-25,2.3999999999999999,3.6571
1980-04-26,5.5999999999999996,3.8571
1980-04-27,4.0999999999999996,3.8857
1980-04-28,0,3.9143
1980-04-29,0,3.9571
1980-04-30,0,3.9714
1980-05-01,0,3.8143
1980-05-02,0,3.4857
1980-05-03,32.200000000000003,3.0857
1980-05-04,0,2.9286
1980-05-05,0,2.9571
1980-05-06,0,3.0286
1980-05-07,0,3.1571
1980-05-08,0,3.5143
1980-05-09,0,3.8000
1980-05-10,0,4.1571
1980-05-11,0,4.3143
1980-05-12,0,4.4000
1980-05-13,0,4.4286
1980-05-14,0,4.5143
1980-05-15,0,4.2714
1980-05-16,0,4.0143
1980-05-17,0,4.0857
1980-05-18,0.10000000000000001,4.1000
1980-05-19,7.0999999999999996,3.9286
1980-05-20,7.5999999999999996,3.8714
1980-05-21,0,3.5714
1980-05-22,8,3.3000
1980-05-23,4.2000000000000002,3.1286
1980-05-24,3.1000000000000001,2.8286
1980-05-25,7.5999999999999996,2.6143
1980-05-26,4,2.5857
1980-05-27,7.4000000000000004,2.3571
1980-05-28,3,2.4571
1980-05-29,0,2.8143
1980-05-30,0,3.1143
1980-05-31,0,3.2429
1980-06-01,0,3.2429
1980-06-02,0,3.4000
1980-06-03,0,3.6143
1980-06-04,0,3.7000
1980-06-05,0,3.6714
1980-06-06,0,3.6000
1980-06-07,0,3.5143
1980-06-08,0,3.6000
1980-06-09,0,3.4000
1980-06-10,0,3.4000
1980-06-11,0,3.3143
1980-06-12,0,3.1429
1980-06-13,0,2.9857
1980-06-14,0,2.9286
1980-06-15,0,2.8286
1980-06-16,0,2.9571
1980-06-17,0,3.0143
1980-06-18,0,3.0714
1980-06-19,0,3.2000
1980-06-20,0,3.4857
1980-06-21,0,3.7857
1980-06-22,0,3.6429
1980-06-23,22.600000000000001,3.4857
1980-06-24,2.3999999999999999,3.3000
1980-06-25,2.7999999999999998,3.1000
1980-06-26,1.2,2.9857
1980-06-27,0,2.8143
1980-06-28,0,2.6286
1980-06-29,0,2.9571
1980-06-30,0,3.2286
1980-07-01,0,3.5000
1980-07-02,0,3.8571
1980-07-03,0,4.0429
1980-07-04,0,4.1000
1980-07-05,0,4.1286
1980-07-06,0,3.9857
1980-07-07,0,3.8857
1980-07-08,0,3.8143
1980-07-09,0,3.6000
1980-07-10,0,3.6571
1980-07-11,0,3.6857
1980-07-12,0,3.4857
1980-07-13,0,3.4286
1980-07-14,7.2000000000000002,3.2857
1980-07-15,8.1999999999999993,3.0000
1980-07-16,0.80000000000000004,3.0571
1980-07-17,0.10000000000000001,2.8143
1980-07-18,0,2.8429
1980-07-19,0,2.8857
1980-07-20,0,2.9143
1980-07-21,0,2.9571
1980-07-22,0,3.1714
1980-07-23,0,2.9000
1980-07-24,0,2.8857
1980-07-25,0,2.7429
1980-07-26,0,2.9000
1980-07-27,0,3.1571
1980-07-28,0,3.3429
1980-07-29,0,3.5714
1980-07-30,0,3.9571
1980-07-31,0,4.2143
1980-08-01,0,4.6286
1980-08-02,0,4.5571
1980-08-03,0,4.1429
1980-08-04,0,4.1571
1980-08-05,0,3.8714
1980-08-06,12,3.6143
1980-08-07,6,3.4286
1980-08-08,1.8,2.9571
1980-08-09,6.7999999999999998,2.8857
1980-08-10,3.7000000000000002,3.0429
1980-08-11,10,2.7714
1980-08-12,5.5999999999999996,2.8000
1980-08-13,4.2000000000000002,2.9143
1980-08-14,5.2000000000000002,2.9143
1980-08-15,0,3.0429
1980-08-16,5.5999999999999996,3.2000
1980-08-17,11.4,3.0714
1980-08-18,7.7999999999999998,3.1857
1980-08-19,0,3.1857
1980-08-20,11.4,3.3286
1980-08-21,2.6000000000000001,3.4857
1980-08-22,0,3.5286
1980-08-23,3,3.4286
1980-08-24,0,3.7857
1980-08-25,2,4.0429
1980-08-26,3.2000000000000002,4.1286
1980-08-27,0,3.9429
1980-08-28,0,4.0857
1980-08-29,0,4.1571
1980-08-30,0,4.2143
1980-08-31,0,4.4143
1980-09-01,0,4.3286
1980-09-02,0,4.5571
1980-09-03,0,4.9143
1980-09-04,0,4.9857
1980-09-05,0,5.1571
1980-09-06,0,5.5000
1980-09-07,0,5.5571
1980-09-08,0,5.8000
1980-09-09,0,5.8571
1980-09-10,0,5.8857
1980-09-11,0,5.9714
1980-09-12,0,6.0714
1980-09-13,0,6.2000
1980-09-14,0,6.3143
1980-09-15,0,6.3143
1980-09-16,0,6.5714
1980-09-17,0,6.6857
1980-09-18,0,6.8714
1980-09-19,0,7.1286
1980-09-20,0,7.1429
1980-09-21,0,7.0571
1980-09-22,0,7.0857
1980-09-23,0,6.9143
1980-09-24,0,6.9000
1980-09-25,0,6.7857
1980-09-26,0,6.6286
1980-09-27,0,6.6571
1980-09-28,0,6.6000
1980-09-29,0,6.6571
1980-09-30,0,6.8714
1980-10-01,0,6.9143
1980-10-02,0.10000000000000001,6.8714
1980-10-03,0.40000000000000002,6.8571
1980-10-04,0.10000000000000001,6.8286
1980-10-05,0,6.8286
1980-10-06,0,6.7714
1980-10-07,0,6.6429
1980-10-08,0,6.7286
1980-10-09,0,7.0857
1980-10-10,0,7.2429
1980-10-11,0,7.3571
1980-10-12,0,7.6286
1980-10-13,0,7.6000
1980-10-14,0,7.4286
1980-10-15,0,7.3143
1980-10-16,0,7.0000
