Date,obs
1980-01-01,77.15
1980-01-02,84.49
1980-01-03,77.2
1980-01-04,69.04
1980-01-05,73.63
1980-01-06,82.62
1980-01-07,94.45
1980-01-08,103.04
1980-01-09,91.54
1980-01-10,84.21
1980-01-11,78.54
1980-01-12,99.32
1980-01-13,91.29
1980-01-14,85.43
1980-01-15,99.69
1980-01-16,111.18
1980-01-17,100.74
1980-01-18,82.27
1980-01-19,81.48
1980-01-20,71.66
1980-01-21,69.77
1980-01-22,67.02
1980-01-23,65.39
1980-01-24,80.4
1980-01-25,98.12
1980-01-26,101.41
1980-01-27,78.11
1980-01-28,73.11
1980-01-29,68.97
1980-01-30,69.98
1980-01-31,67.92
1980-02-01,73.18
1980-02-02,68.95
1980-02-03,70.08
1980-02-04,70.14
1980-02-05,70.14
1980-02-06,68.85
1980-02-07,66.4
1980-02-08,67.3
1980-02-09,67.8
1980-02-10,70.14
1980-02-11,70.15
1980-02-12,72.71
1980-02-13,73.8
1980-02-14,78.3
1980-02-15,117.27
1980-02-16,121.16
1980-02-17,95.45
1980-02-18,82.77
1980-02-19,78.55
1980-02-20,76.07
1980-02-21,76.04
1980-02-22,76.04
1980-02-23,76.04
1980-02-24,79.73
1980-02-25,96.43
1980-02-26,102.41
1980-02-27,104.38
1980-02-28,110.73
1980-02-29,140.74
1980-03-01,157.25
1980-03-02,145.79
1980-03-03,188.81
1980-03-04,341.78
1980-03-05,542.23
1980-03-06,691.79
1980-03-07,624.11
1980-03-08,505.47
1980-03-09,342.73
1980-03-10,275.59
1980-03-11,235.98
1980-03-12,207.7
1980-03-13,182.78
1980-03-14,168.45
1980-03-15,152.64
1980-03-16,136.38
1980-03-17,124.79
1980-03-18,116.37
1980-03-19,147.36
1980-03-20,2902.44
1980-03-21,3443.17
1980-03-22,1511.19
1980-03-23,1005.3
1980-03-24,1034.44
1980-03-25,1008.83
1980-03-26,812.85
1980-03-27,678.17
1980-03-28,599.35
1980-03-29,521.42
1980-03-30,442.06
1980-03-31,389.82
1980-04-01,346.51
1980-04-02,317.24
1980-04-03,296.19
1980-04-04,276.19
1980-04-05,257.15
1980-04-06,242.35
1980-04-07,230.24
1980-04-08,216.64
1980-04-09,205.46
1980-04-10,192.91
1980-04-11,200.17
1980-04-12,222.63
1980-04-13,223.81
1980-04-14,219.66
1980-04-15,240.12
1980-04-16,273.19
1980-04-17,273.29
1980-04-18,264.01
1980-04-19,258.27
1980-04-20,246.72
1980-04-21,272.47
1980-04-22,293.01
1980-04-23,289.92
1980-04-24,411.91
1980-04-25,604.1
1980-04-26,529.03
1980-04-27,473.18
1980-04-28,373.65
1980-04-29,318.79
1980-04-30,288.6
1980-05-01,289.55
1980-05-02,293.51
1980-05-03,297.44
1980-05-04,339.96
1980-05-05,399.8
1980-05-06,439.43
1980-05-07,451.68
1980-05-08,426.29
1980-05-09,383.69
1980-05-10,343.26
1980-05-11,301.05
1980-05-12,279.26
1980-05-13,259.97
1980-05-14,247.13
1980-05-15,236.97
1980-05-16,223.59
1980-05-17,219.66
1980-05-18,226.46
1980-05-19,222.86
1980-05-20,209.16
1980-05-21,219.01
1980-05-22,232.6
1980-05-23,228.19
1980-05-24,221.11
1980-05-25,236.69
1980-05-26,234.88
1980-05-27,228.09
1980-05-28,228.09
1980-05-29,267.14
1980-05-30,339.2
1980-05-31,306.68
1980-06-01,286.04
1980-06-02,263.01
1980-06-03,242.42
1980-06-04,230.24
1980-06-05,216.64
1980-06-06,205.46
1980-06-07,192.91
1980-06-08,185.35
1980-06-09,178.07
1980-06-10,173.67
1980-06-11,176.34
1980-06-12,177.96
1980-06-13,171
1980-06-14,169.37
1980-06-15,176.29
1980-06-16,183.51
1980-06-17,185.24
1980-06-18,178.08
1980-06-19,171
1980-06-20,164.13
1980-06-21,157.44
1980-06-22,148.56
1980-06-23,138.57
1980-06-24,141.9
1980-06-25,175.12
1980-06-26,249.29
1980-06-27,253.17
1980-06-28,242.29
1980-06-29,233.49
1980-06-30,228.16
1980-07-01,225.16
1980-07-02,217.13
1980-07-03,208.45
1980-07-04,200.54
1980-07-05,190.01
1980-07-06,178.13
1980-07-07,168.4
1980-07-08,157.63
1980-07-09,153.45
1980-07-10,150.9
1980-07-11,145.4
1980-07-12,138.54
1980-07-13,134.83
1980-07-14,139.43
1980-07-15,154.36
1980-07-16,171.87
1980-07-17,183.45
1980-07-18,179.8
1980-07-19,164.22
1980-07-20,157.43
1980-07-21,153.39
1980-07-22,150.9
1980-07-23,147.01
1980-07-24,144.59
1980-07-25,140.82
1980-07-26,140.78
1980-07-27,140.78
1980-07-28,140.78
1980-07-29,138.48
1980-07-30,132.6
1980-07-31,126.84
1980-08-01,123.36
1980-08-02,121.23
1980-08-03,117.91
1980-08-04,115.83
1980-08-05,118.85
1980-08-06,126.67
1980-08-07,130.68
1980-08-08,147.69
1980-08-09,153.34
1980-08-10,154.04
1980-08-11,166.1
1980-08-12,186.53
1980-08-13,220.61
1980-08-14,228.76
1980-08-15,242.97
1980-08-16,275.29
1980-08-17,292.63
1980-08-18,277.1
1980-08-19,305.73
1980-08-20,366.29
1980-08-21,414.47
1980-08-22,476.77
1980-08-23,406.72
1980-08-24,354.93
1980-08-25,342.65
1980-08-26,310.77
1980-08-27,277.19
1980-08-28,257.18
1980-08-29,246.45
1980-08-30,229.01
1980-08-31,211.82
1980-09-01,190.52
1980-09-02,186.4
1980-09-03,177
1980-09-04,162.9
1980-09-05,156.14
1980-09-06,154.81
1980-09-07,144.18
1980-09-08,141.91
1980-09-09,138.98
1980-09-10,137.68
1980-09-11,137.03
1980-09-12,134.2
1980-09-13,127.05
1980-09-14,119.56
1980-09-15,113.25
1980-09-16,109.6
1980-09-17,107.4
1980-09-18,103.14
1980-09-19,98.97
1980-09-20,90.9
1980-09-21,90.43
1980-09-22,90.95
1980-09-23,87.95
1980-09-24,89.94
1980-09-25,93.05
1980-09-26,93.05
1980-09-27,91.33
1980-09-28,88.61
1980-09-29,86.91
1980-09-30,84.27
1980-10-01,88.5
1980-10-02,88.65
1980-10-03,82.74
1980-10-04,80.09
1980-10-05,78.52
1980-10-06,73.8
1980-10-07,75.43
1980-10-08,84.11
1980-10-09,81.48
1980-10-10,70.58
1980-10-11,71.93
1980-10-12,69.07
1980-10-13,67.32
1980-10-14,66.24
1980-10-15,65.61
1980-10-16,67.28
1980-10-17,67.3
1980-10-18,66.24
1980-10-19,64.56
1980-10-20,68.82
1980-10-21,65.55
1980-10-22,63.5
1980-10-23,60.85
1980-10-24,59.22
1980-10-25,59.2
1980-10-26,64.63
1980-10-27,74.1
1980-10-28,87.07
1980-10-29,82.98
1980-10-30,76.02
1980-10-31,71.57
1980-11-01,64.59
1980-11-02,61.34
1980-11-03,57.29
1980-11-04,54.2
1980-11-05,53.23
1980-11-06,51.75
1980-11-07,51.73
1980-11-08,50.64
1980-11-09,44.86
1980-11-10,54.44
1980-11-11,62.23
1980-11-12,67.23
1980-11-13,69.49
1980-11-14,73.01
1980-11-15,73.05
1980-11-16,80.55
1980-11-17,98.95
1980-11-18,100
1980-11-19,86.06
1980-11-20,77.39
1980-11-21,71.98
1980-11-22,68.01
1980-11-23,62.53
1980-11-24,58.27
1980-11-25,56.67
1980-11-26,55.69
1980-11-27,52.34
1980-11-28,52.18
1980-11-29,55.64
1980-11-30,54.18
1980-12-01,51.44
1980-12-02,47.14
1980-12-03,42.77
1980-12-04,44.83
1980-12-05,46.58
1980-12-06,47.61
1980-12-07,46.62
1980-12-08,48.46
1980-12-09,45.42
1980-12-10,44.41
1980-12-11,53.19
1980-12-12,73.8
1980-12-13,80.98
1980-12-14,73.83
1980-12-15,68.03
1980-12-16,64.58
1980-12-17,64.54
1980-12-18,64.54
1980-12-19,74.19
1980-12-20,85.39
1980-12-21,87.76
1980-12-22,81.48
1980-12-23,76.08
1980-12-24,77.57
1980-12-25,77.28
1980-12-26,71.98
1980-12-27,68.01
1980-12-28,63.54
1980-12-29,60.85
1980-12-30,58.25
1980-12-31,56.67
1981-01-01,58.27
1981-01-02,78.08
1981-01-03,85.37
1981-01-04,168.81
1981-01-05,269.15
1981-01-06,278.59
1981-01-07,213.78
1981-01-08,180.65
1981-01-09,188.98
1981-01-10,467.3
1981-01-11,1120.48
1981-01-12,1794.43
1981-01-13,2385.49
1981-01-14,2835.23
1981-01-15,2669.29
1981-01-16,2109.49
1981-01-17,1706.38
1981-01-18,1659.67
1981-01-19,1744.23
1981-01-20,1378.05
1981-01-21,1345.26
1981-01-22,1538.1
1981-01-23,1952.9
1981-01-24,2022.71
1981-01-25,1327.68
1981-01-26,1064.62
1981-01-27,940.09
1981-01-28,832.05
1981-01-29,888.5
1981-01-30,1216.99
1981-01-31,1094.56
1981-02-01,744.24
1981-02-02,664.95
1981-02-03,609.9
1981-02-04,700.67
1981-02-05,1330.09
1981-02-06,1463.61
1981-02-07,1081.13
1981-02-08,1131.76
1981-02-09,1233.97
1981-02-10,1153.75
1981-02-11,956.98
1981-02-12,2065.42
1981-02-13,2438.91
1981-02-14,1591.07
1981-02-15,1290.56
1981-02-16,1051.42
1981-02-17,1297.8
1981-02-18,1384.57
1981-02-19,1127.02
1981-02-20,1020.82
1981-02-21,909.08
1981-02-22,960.47
1981-02-23,1240.54
1981-02-24,1098.98
1981-02-25,1128.1
1981-02-26,1371.01
1981-02-27,1994.12
1981-02-28,3170.76
1981-03-01,2848.41
1981-03-02,1784.23
1981-03-03,1403.63
1981-03-04,1162.56
1981-03-05,1038.54
1981-03-06,923.72
1981-03-07,875.85
1981-03-08,856.77
1981-03-09,834.63
1981-03-10,805.63
1981-03-11,832.39
1981-03-12,775.4
1981-03-13,724.86
1981-03-14,709.02
1981-03-15,699.39
1981-03-16,691.83
1981-03-17,682.71
1981-03-18,664.89
1981-03-19,708.06
1981-03-20,875.28
1981-03-21,983.54
1981-03-22,871.97
1981-03-23,801.07
1981-03-24,740.68
1981-03-25,695.11
1981-03-26,669.16
1981-03-27,671.12
1981-03-28,684.21
1981-03-29,667.59
1981-03-30,651.01
1981-03-31,627.57
1981-04-01,607.1
1981-04-02,613.76
1981-04-03,661.64
1981-04-04,623.3
1981-04-05,587.66
1981-04-06,571.65
1981-04-07,582.29
1981-04-08,562.8
1981-04-09,536.04
1981-04-10,711.69
1981-04-11,708.14
1981-04-12,582.53
1981-04-13,543.86
1981-04-14,520.7
1981-04-15,508.89
1981-04-16,474.46
1981-04-17,448.46
1981-04-18,442.94
1981-04-19,434.68
1981-04-20,429.49
1981-04-21,421.41
1981-04-22,426.38
1981-04-23,434.47
1981-04-24,434.58
1981-04-25,434.58
1981-04-26,434.58
1981-04-27,434.58
1981-04-28,434.58
1981-04-29,434.58
1981-04-30,425.3
1981-05-01,398.88
1981-05-02,378.75
1981-05-03,371.2
1981-05-04,366.56
1981-05-05,354.88
1981-05-06,343.37
1981-05-07,332.12
1981-05-08,325.28
1981-05-09,321.05
1981-05-10,314.48
1981-05-11,310.35
1981-05-12,303.91
1981-05-13,307.87
1981-05-14,326.98
1981-05-15,365.62
1981-05-16,396.28
1981-05-17,455.66
1981-05-18,473.4
1981-05-19,698.03
1981-05-20,685.84
1981-05-21,637.95
1981-05-22,659.08
1981-05-23,1060.71
1981-05-24,970.11
1981-05-25,769.62
1981-05-26,674.2
1981-05-27,623.49
1981-05-28,593.35
1981-05-29,566.78
1981-05-30,542.53
1981-05-31,539.86
1981-06-01,536.53
1981-06-02,509.14
1981-06-03,479.82
1981-06-04,451.7
1981-06-05,429.7
1981-06-06,416.43
1981-06-07,403.55
1981-06-08,381.72
1981-06-09,359.51
1981-06-10,354.78
1981-06-11,347.71
1981-06-12,343.27
